20161025 00:24:57,29.00,27.00,30.76
20161025 00:54:58,29.00,28.00,28.03
20161025 01:24:59,29.00,27.00,27.34
20161025 01:55:00,29.00,28.00,27.34
20161025 02:25:01,28.00,29.00,34.18
20161025 02:55:02,29.00,29.00,34.18
20161025 03:25:03,30.00,30.00,30.76
20161025 03:55:05,30.00,30.00,30.76
20161025 04:25:06,30.00,30.00,30.76
20161025 04:55:07,29.00,31.00,30.76
20161025 05:25:08,30.00,31.00,30.76
20161025 05:55:09,31.00,31.00,34.18
20161025 06:25:10,31.00,31.00,34.18
20161025 06:55:11,31.00,32.00,34.18
20161025 07:25:12,31.00,32.00,32.13
20161025 07:55:13,31.00,32.00,34.18
20161025 08:25:14,31.00,32.00,37.60
20161025 08:55:15,30.00,33.00,34.18
20161025 09:25:17,31.00,33.00,34.18
20161025 09:55:18,30.00,34.00,34.18
20161025 10:25:19,28.00,30.00,27.34
20161025 10:55:20,28.00,28.00,30.76
20161025 11:25:21,29.00,27.00,27.34
20161025 11:55:22,31.00,27.00,29.39
20161025 12:25:23,30.00,27.00,27.34
20161025 12:55:24,31.00,27.00,27.34
20161025 13:25:25,32.00,26.00,32.81
20161025 13:55:26,31.00,27.00,20.51
20161025 14:25:27,31.00,27.00,27.34
20161025 14:55:28,30.00,28.00,27.34
20161025 15:25:29,31.00,27.00,30.76
20161025 15:55:30,31.00,27.00,27.34
20161025 16:25:31,30.00,27.00,27.34
20161025 16:55:32,30.00,27.00,34.18
20161025 17:25:33,30.00,27.00,34.18
20161025 17:55:34,30.00,27.00,30.08
20161025 18:25:35,30.00,26.00,27.34
20161025 18:55:36,30.00,27.00,34.18
20161025 21:42:14,31.00,26.00,30.76
20161025 22:12:15,30.00,26.00,30.76
20161025 22:42:16,29.00,27.00,30.76
20161025 23:12:17,30.00,26.00,30.76
20161025 23:42:18,29.00,27.00,30.76
